acc,artifact_reject_percentile,ece,group,kappa,layer,macro_f1,n_train,nll,score_variant,seed,target_subject,w_min
0.28125,10.0,0.025109022855758667,SoftWeight,0.041666666666666664,layer3_v2,0.2187921967769296,200,1.3900059461593628,artifact_gate_content_rank,21,5,0.2
0.2777777777777778,10.0,0.022468386114471488,SoftWeightArtifactReject,0.037037037037037056,layer3_v2,0.21055635001702416,182,1.3886229991912842,artifact_gate_content_rank,21,5,0.2
0.2743055555555556,10.0,0.008763613800207773,NoAug,0.03240740740740744,layer3_v2,0.23192939629208012,20,1.3861819505691528,artifact_gate_content_rank,22,5,0.2
0.2569444444444444,10.0,0.016051902797900967,NaiveAug,0.009259259259259226,layer3_v2,0.19803298137525965,200,1.38729989528656,artifact_gate_content_rank,22,5,0.2
0.2847222222222222,10.0,0.008734372754891712,Random50,0.04629629629629628,layer3_v2,0.1873015873015873,110,1.38597571849823,artifact_gate_content_rank,22,5,0.2
0.2986111111111111,10.0,0.02600002537171046,SASCertTop50,0.06481481481481481,layer3_v2,0.254851093286329,110,1.39085853099823,artifact_gate_content_rank,22,5,0.2
0.2534722222222222,10.0,0.01410831945637862,ArtifactReject,0.004629629629629613,layer3_v2,0.1952559040272922,182,1.3860074281692505,artifact_gate_content_rank,22,5,0.2
0.2569444444444444,10.0,0.021572768170800474,SoftWeight,0.009259259259259226,layer3_v2,0.22054694178622547,200,1.3859925270080566,artifact_gate_content_rank,22,5,0.2
0.2777777777777778,10.0,0.03269123575753636,SoftWeightArtifactReject,0.037037037037037056,layer3_v2,0.223942167083353,182,1.3860689401626587,artifact_gate_content_rank,22,5,0.2
0.2569444444444444,10.0,0.08449761253885096,NoAug,0.009259259259259226,layer3_v2,0.12965285782086922,20,1.376678705215454,artifact_gate_content_rank,20,6,0.2
0.3020833333333333,10.0,0.028158397051609226,NaiveAug,0.06944444444444442,layer3_v2,0.2035479976586508,200,1.3702735900878906,artifact_gate_content_rank,20,6,0.2
0.3090277777777778,10.0,0.04308096236652798,Random50,0.07870370370370372,layer3_v2,0.20649127245130278,110,1.390308141708374,artifact_gate_content_rank,20,6,0.2
0.3229166666666667,10.0,0.07882951308662693,SASCertTop50,0.09722222222222225,layer3_v2,0.29439274839992546,110,1.368040919303894,artifact_gate_content_rank,20,6,0.2
0.2847222222222222,10.0,0.06734993950360352,ArtifactReject,0.04629629629629628,layer3_v2,0.174158031400869,182,1.3706183433532715,artifact_gate_content_rank,20,6,0.2
0.3125,10.0,0.03802764850358168,SoftWeight,0.08333333333333333,layer3_v2,0.21451607411594065,200,1.3668327331542969,artifact_gate_content_rank,20,6,0.2
0.2986111111111111,10.0,0.05389720915506283,SoftWeightArtifactReject,0.06481481481481481,layer3_v2,0.1936574074074074,182,1.3701049089431763,artifact_gate_content_rank,20,6,0.2
0.2847222222222222,10.0,0.02540013561439183,NoAug,0.04629629629629628,layer3_v2,0.2127304498047532,20,1.385516881942749,artifact_gate_content_rank,21,6,0.2
0.2534722222222222,10.0,0.023332967836823728,NaiveAug,0.004629629629629613,layer3_v2,0.17819718980709692,200,1.3873857259750366,artifact_gate_content_rank,21,6,0.2
0.2465277777777778,10.0,0.049996687875439726,Random50,-0.004629629629629613,layer3_v2,0.11829268292682926,110,1.3953384160995483,artifact_gate_content_rank,21,6,0.2
0.2604166666666667,10.0,0.029340282858659823,SASCertTop50,0.013888888888888914,layer3_v2,0.16625198700670402,110,1.389153003692627,artifact_gate_content_rank,21,6,0.2
0.23958333333333334,10.0,0.038149895560410284,ArtifactReject,-0.013888888888888876,layer3_v2,0.2242732420403344,182,1.3895514011383057,artifact_gate_content_rank,21,6,0.2
0.2604166666666667,10.0,0.01927219807273812,SoftWeight,0.013888888888888914,layer3_v2,0.18481045589479325,200,1.3893327713012695,artifact_gate_content_rank,21,6,0.2
0.2465277777777778,10.0,0.040894738915893764,SoftWeightArtifactReject,-0.004629629629629613,layer3_v2,0.209565854848013,182,1.3902442455291748,artifact_gate_content_rank,21,6,0.2
0.2986111111111111,10.0,0.054026521949304476,NoAug,0.06481481481481481,layer3_v2,0.28035738798258353,20,1.3743042945861816,artifact_gate_content_rank,22,6,0.2
0.2847222222222222,10.0,0.012679125078850322,NaiveAug,0.04629629629629628,layer3_v2,0.23732603665685342,200,1.3766062259674072,artifact_gate_content_rank,22,6,0.2
0.2743055555555556,10.0,0.020035317892001733,Random50,0.03240740740740744,layer3_v2,0.22307579748317236,110,1.3768465518951416,artifact_gate_content_rank,22,6,0.2
